"","scientific_name","latitude","longitude","type","source","countryCode"
"374","Bactris gasipaes",-0.01,-79.39,"H","GBIF","ECU"
"375","Bactris gasipaes",-0.01,-79.38,"H","GBIF","ECU"
"376","Bactris gasipaes",-0.01,-79.38,"H","GBIF","ECU"
"377","Bactris gasipaes",-0.01,-79.38,"H","GBIF","ECU"
"378","Bactris gasipaes",-0.01,-79.38,"H","GBIF","ECU"
"379","Bactris gasipaes",-0.01,-79.38,"H","GBIF","ECU"
"380","Bactris gasipaes",-0.01,-79.38,"H","GBIF","ECU"
"381","Bactris gasipaes",-0.01,-79.38,"H","GBIF","ECU"
"382","Bactris gasipaes",-0.01,-79.38,"H","GBIF","ECU"
"383","Bactris gasipaes",-0.01,-79.38,"H","GBIF","ECU"
"384","Bactris gasipaes",-0.01,-79.38,"H","GBIF","ECU"
"385","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"386","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"387","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"388","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"389","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"390","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"391","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"392","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"393","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"394","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"395","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"396","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"397","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"398","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"399","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"400","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"401","Bactris gasipaes",-0.03,-79.4,"H","GBIF","ECU"
"402","Bactris gasipaes",-0.02,-79.39,"H","GBIF","ECU"
"403","Bactris gasipaes",-0.02,-79.39,"H","GBIF","ECU"
"404","Bactris gasipaes",-0.02,-79.39,"H","GBIF","ECU"
"405","Bactris gasipaes",-11.23,-73.7,"H","GBIF","PER"
"406","Bactris gasipaes",-12.47,-69.08,"H","GBIF","PER"
"407","Bactris gasipaes",-12.47,-69.08,"H","GBIF","PER"
"408","Bactris gasipaes",-12.47,-69.08,"H","GBIF","PER"
"409","Bactris gasipaes",-12.47,-69.08,"H","GBIF","PER"
"410","Bactris gasipaes",-12.47,-69.08,"H","GBIF","PER"
"411","Bactris gasipaes",-12.47,-69.08,"H","GBIF","PER"
"412","Bactris gasipaes",-12.47,-69.08,"H","GBIF","PER"
"413","Bactris gasipaes",-11.29,-69.51,"H","GBIF","PER"
"414","Bactris gasipaes",-11.15,-69.55,"H","GBIF","PER"
"415","Bactris gasipaes",-11.15,-69.55,"H","GBIF","PER"
"416","Bactris gasipaes",-11.15,-69.55,"H","GBIF","PER"
"417","Bactris gasipaes",-11.15,-69.55,"H","GBIF","PER"
"418","Bactris gasipaes",-11.15,-69.55,"H","GBIF","PER"
"419","Bactris gasipaes",-11.15,-69.55,"H","GBIF","PER"
"420","Bactris gasipaes",-12.51,-68.8,"H","GBIF","PER"
"421","Bactris gasipaes",-12.51,-68.8,"H","GBIF","PER"
"422","Bactris gasipaes",-12.51,-68.8,"H","GBIF","PER"
