scientific_name,latitude,longitude
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.04
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.3,-79.05
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.39
Bactris gasipaes,-0.01,-79.38
Bactris gasipaes,-0.01,-79.38
Bactris gasipaes,-0.01,-79.38
Bactris gasipaes,-0.01,-79.38
Bactris gasipaes,-0.01,-79.38
Bactris gasipaes,-0.01,-79.38
Bactris gasipaes,-0.01,-79.38
Bactris gasipaes,-0.01,-79.38
Bactris gasipaes,-0.01,-79.38
Bactris gasipaes,-0.01,-79.38
Bactris gasipaes,-0.03,-79.4
